
Sachau 244	PPN872893367	http://resolver.staatsbibliothek-berlin.de/SBB0001E9A700000000	1800 1899 [19. Jh.]	1800 1899	Geschichte des Hl. Simeon (Abū-Ḳurra) aus Ḥabsūs, des Bischofs von Ḥarrān, und seiner Disputation vor dem Kalifen Maʾmūn.
Sachau 243	PPN872893995	http://resolver.staatsbibliothek-berlin.de/SBB0001E9A800000000	1800 1899 [19. Jh.]	1800 1899	Über Mesopotamien in Fragen und Antworten und unvollständige Legende des Hl. Jacob des Ägypters
Sachau 324	PPN872894843	http://resolver.staatsbibliothek-berlin.de/SBB0001E9A900000000		1732	Thesaurus linguae Syriacae
Diez A quart. 118	PPN873165179	http://resolver.staatsbibliothek-berlin.de/SBB0001E9FC00000000		1507	Psalmen nach der Pešiṭtā mit Arabischer Interlinearversion Psalmi <syr>
Sachau 158	PPN873243706	http://resolver.staatsbibliothek-berlin.de/SBB0001EA2B00000000		1844	Syrische Sammelhandschrift
Sachau 120	PPN873244400	http://resolver.staatsbibliothek-berlin.de/SBB0001EA2C00000000		1714	Collectio canonum synodicorum
Sachau 166	PPN87324477X	http://resolver.staatsbibliothek-berlin.de/SBB0001EA2D00000000	1800 1899 [19. Jh.]	1800 1899	Sammlung liturgischer Texte für Beerdigung und Totenfeierlichkeit für Geistliche wie für Laien samt einer Sammlung von Gesängen, die bei solchen Gelegenheiten gesungen werden
Sachau 132	PPN873280717	http://resolver.staatsbibliothek-berlin.de/SBB0001EA4800000000		1880	Capita cognitionum quae exercitationi (spirituum) studiosorum inservire possunt
Sachau 117	PPN873348664	http://resolver.staatsbibliothek-berlin.de/SBB0001EA8D00000000	[1846-1847] oder	1846 1847	Collectaneen, brouillonartig, des Arztes und Diakons ʿAbd-Elwāḥīd: Gebete, ein Katechismus in Fragen und Antworten für den Unterricht der Kinder, ein Hymnus auf die Jungfrau Maria, einige syrische Verse von Jacob von Serūgh, gelegentlich Medizinisches
Sachau 110	PPN873348966	http://resolver.staatsbibliothek-berlin.de/SBB0001EA8E00000000	[um 1880]	1880	Gedicht-Sammlung
Sachau 313	PPN873353587	http://resolver.staatsbibliothek-berlin.de/SBB0001EA9B00000000	1300 1399 [14. Jh.]	1300 1399	Ethik
Sachau 326	PPN873354036	http://resolver.staatsbibliothek-berlin.de/SBB0001EA9D00000000		1298	Horreum mysteriorum
Sachau 116	PPN873368509	http://resolver.staatsbibliothek-berlin.de/SBB0001EAAE00000000	1600 1699 [17.Jh.]	1600 1699	Syrische Sammelhandschrift
Sachau 327	PPN873587766	http://resolver.staatsbibliothek-berlin.de/SBB0001EB5200000000	1600 1699 [17. Jh.]	1600 1699	Liber radiorum
